date,death
2012-03-07,37
2012-03-08,66
2012-03-09,70
2012-03-10,78
2012-03-11,124
2012-03-12,95
2012-03-13,45
2012-03-14,92
2012-03-15,64
2012-03-16,30
2012-03-17,21
2012-03-18,58
2012-03-19,43
2012-03-20,56
2012-03-21,73
2012-03-22,84
2012-03-23,45
2012-03-24,58
2012-03-25,51
2012-03-26,66
2012-03-27,53
2012-03-28,38
2012-03-29,52
2012-03-30,51
2012-03-31,57
2012-04-01,60
2012-04-02,48
2012-04-03,66
2012-04-04,88
2012-04-05,72
2012-04-06,59
2012-04-07,120
2012-04-08,85
2012-04-09,134
2012-04-10,106
2012-04-11,71
2012-04-12,15
2012-04-13,17
2012-04-14,28
2012-04-15,27
2012-04-16,56
2012-04-17,63
2012-04-18,53
2012-04-19,33
2012-04-20,47
2012-04-21,58
2012-04-22,44
2012-04-23,72
2012-04-24,36
2012-04-25,62
2012-04-26,38
2012-04-27,23
2012-04-28,37
2012-04-29,30
2012-04-30,19
2012-05-01,51
2012-05-02,25
2012-05-03,26
2012-05-04,89
2012-05-05,27
2012-05-06,15
2012-05-07,35
2012-05-08,24
2012-05-09,22
2012-05-10,56
2012-05-11,18
2012-05-12,27
2012-05-13,41
2012-05-14,29
2012-05-15,93
2012-05-16,26
2012-05-17,34
2012-05-18,25
2012-05-19,31
2012-05-20,57
2012-05-21,31
2012-05-22,22
2012-05-23,27
2012-05-24,35
2012-05-25,144
2012-05-26,42
2012-05-27,66
2012-05-28,44
2012-05-29,77
2012-05-30,44
2012-05-31,71
2012-06-01,47
2012-06-02,36
2012-06-03,44
2012-06-04,45
2012-06-05,41
2012-06-06,113
2012-06-07,37
2012-06-08,40
2012-06-09,85
2012-06-10,66
2012-06-11,96
2012-06-12,65
2012-06-13,82
2012-06-14,73
2012-06-15,55
2012-06-16,70
2012-06-17,61
2012-06-18,76
2012-06-19,60
2012-06-20,46
2012-06-21,126
2012-06-22,80
2012-06-23,86
2012-06-24,77
2012-06-25,84
2012-06-26,129
2012-06-27,108
2012-06-28,155
2012-06-29,56
2012-06-30,163
2012-07-01,87
2012-07-02,70
2012-07-03,87
2012-07-04,103
2012-07-05,83
2012-07-06,92
2012-07-07,73
2012-07-08,61
2012-07-09,65
2012-07-10,74
2012-07-11,86
2012-07-12,147
2012-07-13,102
2012-07-14,80
2012-07-15,90
2012-07-16,122
2012-07-17,100
2012-07-18,334
2012-07-19,239
2012-07-20,255
2012-07-21,154
2012-07-22,132
2012-07-23,166
2012-07-24,208
2012-07-25,131
2012-07-26,208
2012-07-27,151
2012-07-28,211
2012-07-29,174
2012-07-30,96
2012-07-31,92
2012-08-01,172
2012-08-02,186
2012-08-03,127
2012-08-04,211
2012-08-05,127
2012-08-06,240
2012-08-07,180
2012-08-08,184
2012-08-09,182
2012-08-10,165
2012-08-11,138
2012-08-12,144
2012-08-13,130
